appid,developers
730,Valve
578080,PUBG Corporation
570,Valve
271590,Rockstar North
359550,Ubisoft Montreal
440,Valve
105600,Re-Logic
252490,Facepunch Studios
4000,Facepunch Studios
1172470,Respawn
2358720,Game Science
292030,CD PROJEKT RED
1245620,FromSoftware
413150,Inc.
1091500,ConcernedApe
553850,CD PROJEKT RED
1086940,Arrowhead Game Studios
227300,Larian Studios
1174180,SCS Software
1085660,Rockstar Games
739630,Bungie
945360,Kinetic Games
230410,Innersloth
236390,Digital Extremes
381210,Gaijin Entertainment
304930,Behaviour Interactive Inc.
346110,Smartly Dressed Games
242760,Studio Wildcard
1097150,Instinct Games
218620,Efecto Studios
252950,Virtual Basement LLC
892970,Endnight Games Ltd
1966720,Mediatonic
291550,OVERKILL - a Starbreeze Studio.
1938090,Psyonix LLC
322170,Iron Gate AB
367520,Zeekerss
221100,Blue Mammoth Games
444090,Treyarch
322330,Raven Software
2357570,Beenox
239140,High Moon Studios
1623730,Activision Shanghai
960090,Sledgehammer Games
1172620,Infinity Ward
250900,Demonware
582010,Toys for Bob
648800,RobTop Games
284160,Team Cherry
264710,Bohemia Interactive
1203220,Evil Mojo Games
108600,Klei Entertainment
548430,Blizzard Entertainment
275850,Inc.
1118200,Techland
374320,Pocketpair
377160,Ninja Kiwi
1145360,Rare Ltd
289070,Nicalis
251570,Inc.
1063730,Edmund McMillen
2767030,CAPCOM Co.
438100,Unknown Developer
1794680,Redbeet Interactive
238960,BeamNG
394360,Unknown Worlds Entertainment
1517290,24 Entertainment
814380,The Indie Stone
391540,Ghost Ship Games
990080,Hello Games
2073850,mestiez
1237970,FromSoftware
976730,Inc.
1326470,Bethesda Game Studios
107410,Supergiant Games
1238810,Firaxis Games
700330,Aspyr (Mac)
698780,Aspyr (Linux)
632360,The Fun Pimps
433850,Amazon Games
261550,NetEase Games
255710,VRChat Inc.
1599340,poncle
1551360,Grinding Gear Games
49520,Paradox Development Studio
1468810,DICE
594650,FromSoftware
526870,Inc.
489830,tobyfox
72850,Avalanche Software
1144200,Embark Studios
1240440,Respawn Entertainment
1426210,343 Industries
2995920,Splash Damage
294100,Ruffian Games
1625450,Bungie
782330,Saber Interactive
319630,Endnight Games Ltd
427520,Bohemia Interactive
435150,DICE
1222670,Northwood Studios
477160,Team Salvato
268910,Hopoo Games
1238840,Daybreak Game Company
552520,TaleWorlds Entertainment
812140,Colossal Order Ltd.
203160,Smilegate RPG
646570,Playground Games
1782210,Gearbox Software
393380,Aspyr (Mac)
12210,Aspyr (Linux)
444200,鬼谷工作室
518790,Crytek
552990,Coffee Stain Studios
534380,Bethesda Game Studios
588650,Bethesda Game Studios
270880,VOID Interactive
813780,343 Industries
1229490,Hazelight Studios
388520,Hazelight Studio
311210,Ludeon Studios
379720,Dani
1332010,id Software
1222140,DONTNOD Entertainment
1172380,Feral Interactive (Mac)
48700,Feral Interactive (Linux)
262060,Wube Software LTD.
1677740,Larian Studios
306130,Maxis
1057090,No Brakes Games
508440,Studio MDHR Entertainment Inc.
240,DICE
281990,Ubisoft Montreal
1289310,Red Storm
50100,Ubisoft Shanghai
671860,Ubisoft Toronto
2139460,Ubisoft Kiev
714010,Ubisoft Quebec
1506830,Ubisoft Montreal
433340,Ubisoft Bucharest
386360,Ubisoft Singapore
379430,Ubisoft Montpellier
457140,Ubisoft Kiev
1818750,Ubisoft Shanghai
883710,Crystal Dynamics
362890,Eidos-Montréal
244210,Feral Interactive (Mac)
397540,Nixxes
1832640,Mega Crit
1868140,Dani
2183900,Offworld
677620,Rockstar North
2050650,Rockstar Toronto
361420,Wargaming Group Limited
391220,Expansive Worlds
2379780,Wargaming Group Limited
1593500,Techland
1716740,Motion Twin
1222680,SCS Software
2694490,Forgotten Empires
8870,Tantalus Media
504230,Wicked Witch
412020,Worlds Edge
1449560,CaptureAge
582160,Arsi Hakita Patala
220200,Treyarch
524220,Aspyr (Mac)
220240,Treyarch
323190,Aspyr (Mac)
387990,id Software
2074920,BlueTwelve Studio
632470,Quantic Dream
1167630,Respawn Entertainment
225540,TaleWorlds Entertainment
674940,Red Hook Studios
581320,Scopely
244850,ZeniMax Online Studios
223470,Moon Studios GmbH
305620,Landfall
204360,Valve
3065170,Paradox Development Studio
1721470,vanripper
2246340,Firaxis Games
304390,Aspyr (Mac)
208650,Aspyr (Linux)
466240,SgtOkiDoki
1151640,Vilaskis
219740,TheLiquidHorse
304050,Starry Studio
1604030,State Space Labs
2195250,Inc.
601150,EA Canada & EA Romania
238320,Monomi Park
629760,Titan Forge Games
1046930,Warhorse Studios
899770,Klei Entertainment
2527500,Player First Games
2507950,CAPCOM Co.
2709440,Unknown Developer
236850,Crowbar Collective
1942280,Kunos Simulazioni
686810,Gearbox Software
1665460,KAGAMI Ⅱ WORKs
1361210,MINTROCKET
219150,Saber Interactive
2923300,1047 Games
848450,CAPCOM Co.
513710,Unknown Developer
823130,System Era Softworks
222880,Crystal Dynamics
1313140,Eidos-Montréal
211820,Feral Interactive (Mac)
2792380,Feral Interactive (Linux)
552500,Nixxes
1217060,LocalThunk
1407200,Santa Monica Studio
594570,Jetpack Interactive
546560,Bethesda Game Studios
376210,Ghost Games
1449850,Grinding Gear Games
613100,Irrational Games
232090,Virtual Programming (Linux)
221380,Maddy Makes Games Inc.
219990,Extremely OK Games
